,insolation_flux_earth,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius]
3367,28.48,584.0,41.74600392,0.2384,1.2
3368,60.37,710.0,25.30889748,0.1763,1.25
3369,877.33,1407.0,3.56809693,0.0473,1.32
3370,330.55,1080.0,6.8834055,0.075,1.19
3371,3.64,314.0,27.52197994,0.1445,0.53
3372,5.99,374.0,9.54927542,0.0646,0.33
3373,859.51,1217.0,4.28686431,0.0535,1.22
3374,683.84,1304.0,3.62276006,0.0467,1.22
3375,324.86,1125.0,5.64067757,0.0627,1.04
3376,193.68,909.0,8.5083244,0.0806,1.03
3377,388.44,1125.0,9.37647,0.087,1.58
3378,494.7,1196.0,7.81254,0.077,1.58
3379,1822.76,1750.0,3.5484657,0.0538,1.79
3380,148.46,844.0,5.63252845,0.0598,0.83
3381,202.78,931.0,9.61375356,0.0897,0.96
3382,1129.27,1210.0,3.57320367,0.0457,1.11
3383,62.93,747.0,8.30864937,0.0747,0.82
3384,108.13,1000.0,5.89660978,0.0614,1.09
3385,310.02,1200.0,3.41303622,0.0427,0.83
3386,79.04,1093.0,8.02511821,0.0804,1.26
3387,1414.33,1438.0,3.00387658,0.0439,1.54
3388,312.51,1111.0,4.22538451,0.0516,1.03
3389,1059.52,1597.0,3.26869515,0.0453,1.12
3390,6.06,371.0,18.596108,0.116,0.56
3391,64.39,717.0,2.576549,0.031,0.56
3392,12.34,443.0,10.9129343,0.07821,0.53
3393,21.48,509.0,7.2037945,0.05929,0.53
3394,20.62,538.0,17.27629612,0.1209,0.76
3395,778.51,1303.0,3.12082923,0.0428,1.09
3396,535.84,1226.0,2.41839004,0.0337,0.89
3397,15.04,487.0,38.6519976,0.2141,0.88
3398,51.49,662.0,15.3587684,0.1157,0.88
3399,622.01,1243.0,3.2432598,0.0433,1.09
3400,90.63,766.0,10.04556931,0.0896,0.87
3401,61.49,755.0,30.229104,0.2072,1.47
3402,4.44,352.0,56.35418576,0.2537,0.72
3403,183.84,899.0,10.06082567,0.0894,1.09
3404,764.08,1312.0,4.9195838,0.0605,1.34
3406,9.29,448.0,42.8961,0.2279,0.89
3407,67.59,736.0,9.67395,0.0845,0.89
3408,173.12,932.0,4.778,0.0528,0.89
3409,37.75,649.0,12.49341307,0.0994,0.81
3410,39.56,640.0,13.2217576,0.1032,0.8
3411,38.71,649.0,11.11990653,0.0911,0.79
3412,100.09,807.0,14.00640607,0.1126,1.09
3413,215.46,980.0,3.10550819,0.0399,0.79
3414,671.06,1115.0,5.66067294,0.0606,1.08
3415,243.38,879.0,14.55731705,0.1186,1.34
3416,139.24,876.0,4.17625551,0.0483,0.78
3417,1146.88,1308.0,5.01423457,0.0626,1.8
3418,41.2,1485.0,24.66919569,0.2322,1.66
3422,11.24,484.0,38.47875707,0.2213,0.87
3423,72.75,712.0,24.99324193,0.1651,1.37
3424,500.46,1206.0,3.70921385,0.0465,1.05
